escenario;avg. trip duration [s]
escenario 1;192.01
escenario 1;192.59
escenario 1;192.59
escenario 1;193.43
escenario 1;193.43
escenario 1;193.43
escenario 1;194.31
escenario 1;194.31
escenario 1;195.17
escenario 1;195.17
escenario 1;195.17
escenario 1;195.17
escenario 1;195.17
escenario 1;195.17
escenario 1;195.17
escenario 1;195.17
escenario 1;195.17
escenario 1;195.17
escenario 1;195.17
escenario 1;195.17
escenario 1;195.17
escenario 1;195.17
escenario 1;196.05
escenario 1;196.05
escenario 1;196.96
escenario 1;196.96
escenario 1;196.96
escenario 1;196.96
escenario 1;196.96
escenario 1;197.91
escenario 1;197.91
escenario 1;199.71
escenario 1;200.59
escenario 1;201.26
escenario 1;201.26
escenario 1;202.20
escenario 1;202.20
escenario 1;202.20
escenario 1;202.20
escenario 1;202.20
escenario 1;203.11
escenario 1;203.11
escenario 1;203.11
escenario 1;203.11
escenario 1;203.11
escenario 1;203.11
escenario 1;203.11
escenario 1;203.11
escenario 1;203.11
escenario 1;203.11
escenario 1;203.11
escenario 1;204.06
escenario 1;204.90
escenario 1;204.90
escenario 1;204.90
escenario 1;204.90
escenario 1;204.90
escenario 1;204.90
escenario 1;205.72
escenario 1;205.72
escenario 1;205.72
escenario 1;205.72
escenario 1;205.72
escenario 1;205.72
escenario 1;205.72
escenario 1;205.72
escenario 1;205.72
escenario 1;206.62
escenario 1;206.62
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;207.38
escenario 1;208.07
escenario 1;208.07
escenario 1;208.07
escenario 1;208.07
escenario 1;208.07
escenario 1;208.07
escenario 1;208.07
escenario 1;208.07
escenario 1;208.07
escenario 1;208.94
escenario 1;208.94
escenario 1;208.94
escenario 1;208.94
escenario 1;208.94
escenario 1;208.94
escenario 1;208.94
escenario 1;209.77
escenario 1;209.77
escenario 1;209.77
escenario 1;209.77
escenario 1;210.47
escenario 1;210.47
escenario 1;210.47
escenario 1;211.19
escenario 1;211.19
escenario 1;211.19
escenario 1;211.19
escenario 1;211.19
escenario 1;211.19
escenario 1;213.00
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;212.95
escenario 1;213.87
escenario 1;213.87
escenario 1;213.87
escenario 1;213.87
escenario 1;213.87
escenario 1;213.87
escenario 1;213.87
escenario 1;214.89
escenario 1;214.89
escenario 1;214.89
escenario 1;214.89
escenario 1;214.89
escenario 1;214.89
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;214.90
escenario 1;215.79
escenario 1;215.79
escenario 1;215.79
escenario 1;215.79
escenario 1;215.79
escenario 1;215.79
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;216.45
escenario 1;217.25
